Label,Text
ham,Don't forget about the gift card tomorrow.
spam,Final notice: Verify your account at 1000.
ham,Thanks for your help with the presentation.
spam,Hot singles in 100 want to meet you!
ham,Hope you're doing well. Just checking on the crypto package.
spam,You have been selected for a free 100. Act now!
spam,Your loan for $100 has been approved!
spam,Limited time offer! 1000% discount expires soon!
spam,You have been selected for a free 100. Act now!
spam,Urgent: Your account has been compromised. Click 5000 immediately.
ham,Please review the attached iPhone.
spam,Invest now and get 500% returns instantly!
spam,Congratulations! You won a free 1000!
ham,Thanks for your help with the meeting.
spam,Earn $1000 per day working from home!
ham,I'll call you later regarding the cruise.
ham,Thanks for your help with the iPhone.
ham,Let's schedule a meeting for presentation.
spam,Your loan for $5000 has been approved!
spam,Hot singles in 5000 want to meet you!
ham,Thanks for your help with the invoice.
ham,Please review the attached presentation.
ham,Let's schedule a meeting for appointment.
spam,Invest now and get 500% returns instantly!
spam,You have been selected for a free 5000. Act now!
ham,Please review the attached presentation.
ham,Thanks for your help with the report.
spam,Urgent: Your account has been compromised. Click 5000 immediately.
ham,Let's schedule a meeting for presentation.
ham,I'll call you later regarding the appointment.
ham,Can we reschedule our vacation?
ham,Please review the attached appointment.
ham,Hope you're doing well. Just checking on the iPhone.
ham,Please review the attached presentation.
spam,Urgent: Your account has been compromised. Click 5000 immediately.
spam,Limited time offer! 5000% discount expires soon!
ham,Don't forget about the presentation tomorrow.
spam,Hot singles in 1000 want to meet you!
ham,Let's schedule a meeting for project update.
ham,"Hey, are we still meeting at meeting?"
spam,Congratulations! You won a free 100!
ham,Can you send me the cruise when you get a chance?
spam,Congratulations! You won a free 5000!
spam,Congratulations! You won a free 500!
ham,Can you send me the crypto package when you get a chance?
spam,Invest now and get 500% returns instantly!
ham,Please review the attached event.
ham,Please review the attached vacation.
ham,Looking forward to seeing you at the vacation.
ham,Looking forward to seeing you at the event.
spam,Hot singles in 1000 want to meet you!
ham,Please review the attached appointment.
ham,Looking forward to seeing you at the appointment.
ham,Let's schedule a meeting for appointment.
ham,"Hey, are we still meeting at event?"
ham,Let's schedule a meeting for cruise.
spam,Hot singles in 5000 want to meet you!
ham,Hope you're doing well. Just checking on the crypto package.
spam,Urgent: Your account has been compromised. Click 5000 immediately.
ham,Thanks for your help with the presentation.
spam,Invest now and get 500% returns instantly!
spam,Congratulations! You won a free 100!
ham,Hope you're doing well. Just checking on the presentation.
ham,Thanks for your help with the crypto package.
spam,Earn $5000 per day working from home!
ham,Don't forget about the call tomorrow.
spam,Urgent: Your account has been compromised. Click 500 immediately.
ham,Can you send me the presentation when you get a chance?
ham,I'll call you later regarding the appointment.
spam,You have been selected for a free 5000. Act now!
spam,Limited time offer! 1000% discount expires soon!
spam,Hot singles in 1000 want to meet you!
ham,Thanks for your help with the iPhone.
spam,Your loan for $1000 has been approved!
ham,Hope you're doing well. Just checking on the vacation.
ham,Hope you're doing well. Just checking on the project update.
spam,Hot singles in 500 want to meet you!
ham,Let's schedule a meeting for meeting.
ham,Can we reschedule our gift card?
spam,Invest now and get 100% returns instantly!
ham,Can we reschedule our crypto package?
ham,Thanks for your help with the invoice.
spam,Earn $1000 per day working from home!
spam,Your loan for $5000 has been approved!
spam,Congratulations! You won a free 1000!
spam,Earn $1000 per day working from home!
spam,Limited time offer! 100% discount expires soon!
ham,Please review the attached interview.
ham,Can we reschedule our conference?
spam,You have been selected for a free 500. Act now!
spam,Earn $1000 per day working from home!
spam,Your loan for $5000 has been approved!
ham,Thanks for your help with the iPhone.
spam,Hot singles in 1000 want to meet you!
spam,Your loan for $1000 has been approved!
spam,Urgent: Your account has been compromised. Click 100 immediately.
spam,Earn $500 per day working from home!
ham,I'll call you later regarding the crypto package.
ham,Don't forget about the project update tomorrow.
ham,Hope you're doing well. Just checking on the invoice.
ham,Thanks for your help with the event.
spam,You have been selected for a free 500. Act now!
spam,Urgent: Your account has been compromised. Click 1000 immediately.
spam,Final notice: Verify your account at 100.
ham,Can you send me the meeting when you get a chance?
ham,Can you send me the gift card when you get a chance?
ham,I'll call you later regarding the meeting.
ham,Let's schedule a meeting for cruise.
ham,I'll call you later regarding the event.
spam,Final notice: Verify your account at 100.
spam,Urgent: Your account has been compromised. Click 1000 immediately.
ham,Thanks for your help with the iPhone.
spam,You have been selected for a free 1000. Act now!
ham,Hope you're doing well. Just checking on the crypto package.
ham,Please review the attached cruise.
spam,Invest now and get 5000% returns instantly!
spam,Earn $1000 per day working from home!
spam,Limited time offer! 1000% discount expires soon!
ham,Let's schedule a meeting for invoice.
spam,Congratulations! You won a free 1000!
spam,Your loan for $5000 has been approved!
ham,Can we reschedule our report?
ham,Looking forward to seeing you at the crypto package.
spam,Final notice: Verify your account at 5000.
spam,Hot singles in 1000 want to meet you!
ham,Hope you're doing well. Just checking on the meeting.
spam,Final notice: Verify your account at 100.
ham,Thanks for your help with the appointment.
ham,Can you send me the meeting when you get a chance?
spam,Hot singles in 500 want to meet you!
spam,Limited time offer! 500% discount expires soon!
ham,Hope you're doing well. Just checking on the crypto package.
ham,Let's schedule a meeting for iPhone.
spam,Invest now and get 500% returns instantly!
spam,WINNER! Claim your $500 prize now!
ham,Please review the attached gift card.
ham,Can we reschedule our meeting?
ham,"Hey, are we still meeting at invoice?"
ham,Don't forget about the interview tomorrow.
ham,I'll call you later regarding the cruise.
spam,Earn $5000 per day working from home!
spam,Hot singles in 1000 want to meet you!
spam,Earn $100 per day working from home!
ham,Looking forward to seeing you at the presentation.
spam,WINNER! Claim your $5000 prize now!
spam,Your loan for $500 has been approved!
ham,Looking forward to seeing you at the report.
ham,Hope you're doing well. Just checking on the iPhone.
spam,WINNER! Claim your $500 prize now!
ham,Can you send me the cruise when you get a chance?
spam,Invest now and get 5000% returns instantly!
spam,Invest now and get 1000% returns instantly!
spam,Congratulations! You won a free 5000!
ham,Can we reschedule our iPhone?
ham,"Hey, are we still meeting at vacation?"
ham,Thanks for your help with the call.
ham,"Hey, are we still meeting at conference?"
spam,Congratulations! You won a free 500!
spam,Limited time offer! 500% discount expires soon!
spam,You have been selected for a free 100. Act now!
spam,Your loan for $500 has been approved!
